Granja,Edad,PesoMedio,Num,Gen,Tanque,Virtual,Fecha,Biomasa,YearClass,BiomasaBajas,NumBajas,Cull,NumBajas_cull,BiomasaBajas_cull,NumSinBajas,BiomasaSinBajas,FechaFin,DiasMes,PesoMedioSinBajas,Talla,BiomasaPescas,BiomasaSinPescas,NumPescas,NumSinPescas,PesoMedioSinPescas,Tasa,PesoMedioFinal,BiomasaFinal,NumFinal,EdadFinal,TallaFinal,Input
Anglet_P,444,452.9166666666667,4775,23 6SG,A02,False,2024-08-31,2162.677083333333,2023,6.340833333333334,14,False,0,0.0,4761,2156.3362500000003,2024-09-30,30,452.91666666666674,e.400 - 500,0.0,2162.677083333333,0,4775,452.9166666666667,0.157106124,524.0726486616668,2495.109880278196,4761,474,f.500 - 600,False
Hafnir_P,304,244.493392944336,8565,24 2SG,P22,False,2024-08-31,2094.085910568237,2024,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,c.200 - 300,2094.085910568237,0.0,8565,0,0.0,0.308476196,0.0,0.0,0,334,c.200 - 300,False
Anglet_P,444,472.8571428571429,5531,23 6SG,A04,False,2024-08-31,2615.3728571428574,2023,8.03857142857143,17,False,0,0.0,5514,2607.334285714286,2024-09-30,30,472.85714285714295,e.400 - 500,0.0,2615.3728571428574,0,5531,472.85714285714295,0.157106124,547.145895777143,3016.962469315167,5514,474,f.500 - 600,False
Anglet_P,444,506.0,5755,23 6SG,A03,False,2024-08-31,2912.03,2023,473.11,935,False,0,0.0,4820,2438.92,2024-09-30,30,506.0,f.500 - 600,0.0,2912.03,0,5755,506.0,0.157106124,585.495698744,2822.0892679460803,4820,474,f.500 - 600,False
Anglet_P,444,510.6666666666667,8711,23 6SG,F04,False,2024-08-31,4448.417333333334,2023,508.1133333333333,995,False,0,0.0,7716,3940.304000000001,2024-09-30,30,510.6666666666667,f.500 - 600,0.0,4448.417333333334,0,8711,510.6666666666667,0.157106124,590.8955273226667,4559.349888821696,7716,474,f.500 - 600,False
Anglet_P,444,508.0,8734,23 6SG,F02,False,2024-08-31,4436.872,2023,496.824,978,False,0,0.0,7756,3940.048,2024-09-30,30,508.0,f.500 - 600,0.0,4436.872,0,8734,508.0,0.157106124,587.809910992,4559.053669653952,7756,474,f.500 - 600,False
Hafnir_P,430,465.5172413793104,7444,23 6SG,G30,False,2024-08-31,3465.3103448275865,2023,0.0,0,False,0,0.0,7444,3465.3103448275865,2024-09-30,30,465.5172413793104,e.400 - 500,0.0,3465.3103448275865,0,7444,465.5172413793104,0.1450338119999999,533.0329814482759,3967.897513900966,7444,460,f.500 - 600,False
Hafnir_P,430,453.125,7659,23 6SG,G13,False,2024-08-31,3470.484375,2023,0.0,0,False,0,0.0,7659,3470.484375,2024-09-30,30,453.125,e.400 - 500,0.0,3470.484375,0,7659,453.125,0.1450338119999999,518.8434460625,3973.821953392687,7659,460,f.500 - 600,False
Hafnir_P,430,477.5725708007813,7461,23 6SG,G12,False,2024-08-31,3563.168950744629,2023,0.0,0,False,0,0.0,7461,3563.168950744629,2024-09-30,30,477.5725708007813,e.400 - 500,0.0,3563.168950744629,0,7461,477.5725708007813,0.1450338119999999,546.8367412506584,4079.9489264711615,7461,460,f.500 - 600,False
Hafnir_P,430,560.0,3605,23 6SG,S06A,False,2024-08-31,2018.8,2023,0.0,0,False,0,0.0,3605,2018.8,2024-09-30,30,559.9999999999999,f.500 - 600,0.0,2018.8,0,3605,559.9999999999999,0.1450338119999999,641.2189347199999,2311.5942596656,3605,460,g.600 - 800,False
Hafnir_P,430,506.8493150684932,7306,23 6SG,G01,False,2024-08-31,3703.0410958904113,2023,1.0136986301369864,2,False,0,0.0,7304,3702.0273972602745,2024-09-30,30,506.8493150684932,f.500 - 600,0.0,3703.0410958904113,0,7306,506.8493150684932,0.1450338119999999,580.3596033424658,4238.94654281337,7304,460,f.500 - 600,False
