Fecha,Granja,Tanque,Gen,Lote,PesoMedio,Num,Biomasa,Edad,EdadMeses,Talla_100,Talla_500
11 - optima,Vilan_P,Optima,Optima,Optima,NA,19428.57143,34000,Optima,NA,ar.1700 - 1800,g.1500 - 2000
11 - optima,Vilan_P,Optima,Optima,Optima,NA,19459.45946,36000,Optima,NA,as.1800 - 1900,g.1500 - 2000
11 - optima,Vilan_P,Optima,Optima,Optima,NA,16923.07692,33000,Optima,NA,at.1900 - 2000,g.1500 - 2000
11 - optima,Vilan_P,Optima,Optima,Optima,NA,7441.860465,16000,Optima,NA,au.2000 - 2100,h.2000 - 2500
11 - optima,Vilan_P,Optima,Optima,Optima,NA,6666.666667,15000,Optima,NA,av.2100 - 2200,h.2000 - 2500
11 - optima,Vilan_P,Optima,Optima,Optima,NA,6808.510638,16000,Optima,NA,aw.2200 - 2300,h.2000 - 2500
11 - optima,Vilan_P,Optima,Optima,Optima,NA,6122.44898,15000,Optima,NA,ax.2300 - 2400,h.2000 - 2500
11 - optima,Vilan_P,Optima,Optima,Optima,NA,5098.039216,13000,Optima,NA,ay.2400 - 2500,h.2000 - 2500
11 - optima,Vilan_P,Optima,Optima,Optima,NA,1509.433962,4000,Optima,NA,az.2500 - 2600,i.2500 - 3000
11 - optima,Vilan_P,Optima,Optima,Optima,NA,1454.545455,4000,Optima,NA,ba.2600 - 2700,i.2500 - 3000
11 - optima,Vilan_P,Optima,Optima,Optima,NA,2105.263158,6000,Optima,NA,bb.2700 - 2800,i.2500 - 3000
11 - optima,Vilan_P,Optima,Optima,Optima,NA,2711.864407,8000,Optima,NA,bc.2800 - 2900,i.2500 - 3000
11 - optima,Vilan_P,Optima,Optima,Optima,NA,2539.68254,8000,Optima,NA,bd.2900 - 3000,i.2500 - 3000
11 - optima,Vilan_P,Optima,Optima,Optima,NA,3076.923077,10000,Optima,NA,be.3000 - 3100,j.3000
11 - optima,Vilan_P,Optima,Optima,Optima,NA,2985.074627,10000,Optima,NA,bf.3100 - 3200,j.3000
11 - optima,Vilan_P,Optima,Optima,Optima,NA,1449.275362,5000,Optima,NA,bg.3200 - 3300,j.3000
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,1.00E+05,5000,Optima,NA,aa.0 - 100,a.0 - 300
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,46666.66667,7000,Optima,NA,ab.100 - 200,a.0 - 300
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,32000,8000,Optima,NA,ac.200 - 300,a.0 - 300
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,31428.57143,11000,Optima,NA,ad.300 - 400,b.300 - 400
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,31111.11111,14000,Optima,NA,ae.400 - 500,c.400 - 600
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,9090.909091,5000,Optima,NA,af.500 - 600,c.400 - 600
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,9230.769231,6000,Optima,NA,ag.600 - 700,d.600 - 800
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,10666.66667,8000,Optima,NA,ah.700 - 800,d.600 - 800
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,9411.764706,8000,Optima,NA,ai.800 - 900,e.800 - 1000
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,10526.31579,10000,Optima,NA,aj.900 - 1000,e.800 - 1000
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,9523.809524,10000,Optima,NA,ak.1000 - 1100,f.1000 - 1500
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,8695.652174,10000,Optima,NA,al.1100 - 1200,f.1000 - 1500
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,8000,10000,Optima,NA,am.1200 - 1300,f.1000 - 1500
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,6666.666667,9000,Optima,NA,an.1300 - 1400,f.1000 - 1500
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,6206.896552,9000,Optima,NA,ao.1400 - 1500,f.1000 - 1500
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,5806.451613,9000,Optima,NA,ap.1500 - 1600,g.1500 - 2000
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,5454.545455,9000,Optima,NA,aq.1600 - 1700,g.1500 - 2000
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,4571.428571,8000,Optima,NA,ar.1700 - 1800,g.1500 - 2000
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,4324.324324,8000,Optima,NA,as.1800 - 1900,g.1500 - 2000
