Granja,Edad,PesoMedio,Type
Tocha_P,390,361.6,Historical
Tocha_P,125,18.91466667,Historical
Oye_P,837,1875.23684,Historical
Oye_P,895,2202,Historical
Oye_P,804,1678,Historical
Oye_P,923,1979,Historical
Oye_P,958,2068,Historical
Oye_P,734,2329,Historical
Oye_P,853,2740,Historical
Oye_P,888,2741.4796,Historical
Oye_P,825,2469,Historical
Oye_P,797,1876.713089,Historical
Cervo_P,251,146.1777778,Historical
Cervo_P,370,393.7,Historical
Cervo_P,489,1060.928571,Historical
Cervo_P,524,1205.071429,Historical
Cervo_P,251,145.3777778,Historical
Cervo_P,188,100,Historical
Cervo_P,307,294.55,Historical
Cervo_P,251,160.5,Historical
Cervo_P,307,270.85,Historical
Cervo_P,342,348.8571429,Historical
Oye_P,671,1400,Historical
Oye_P,585,1110.92437,Historical
Oye_P,643,1354,Historical
Oye_P,585,1365.853659,Historical
Tocha_P,236,127.2,Historical
Cervo_P,858,2386.4,Historical
Oye_P,475,542,Historical
Oye_P,447,457,Historical
Oye_P,566,906,Historical
Cervo_P,587,1400,Historical
Cervo_P,524,1527.96875,Historical
Cervo_P,223,84.53333333,Historical
Cervo_P,258,120.2666667,Historical
Cervo_P,377,440.1428571,Historical
Cervo_P,468,981.2,Historical
Cervo_P,503,1273,Historical
Cervo_P,377,522,Historical
Cervo_P,412,688.3,Historical
Cervo_P,531,1344.428571,Historical
Cervo_P,468,1023.2,Historical
Cervo_P,503,1318.428571,Historical
Cervo_P,468,1062.8,Historical
Cervo_P,503,1196.428571,Historical
Cervo_P,377,540.1,Historical
Cervo_P,412,678.96,Historical
Cervo_P,321,248.04,Historical
Cervo_P,554,1709.68254,Historical
Cervo_P,632,1408.2,Historical
Cervo_P,690,1610.408163,Historical
Cervo_P,809,2155.2,Historical
Cervo_P,844,2155.4,Historical
Cervo_P,496,1326.5,Historical
Cervo_P,440,562,Historical
Oye_P,447,562,Historical
Oye_P,390,420,Historical
Oye_P,481,574.0280032,Historical
Oye_P,516,672,Historical
Oye_P,538,642.41,Historical
Oye_P,573,826,Historical
Oye_P,663,730.2285045,Historical
Oye_P,698,814,Historical
Oye_P,544,587,Historical
Oye_P,669,1187,Historical
Oye_P,698,1269,Historical
Oye_P,629,1170,Historical
Oye_P,664,1371,Historical
Oye_P,573,1020,Historical
Cervo_P,427,527.52,Historical
Cervo_P,581,1482,Historical
Cervo_P,399,497.5,Historical
Cervo_P,518,1149.642857,Historical
Cervo_P,553,1243,Historical
Cervo_P,462,1205.857143,Historical
Oye_P,769,1932.125012,Historical
Oye_P,739,2043.28,Historical
Oye_P,797,2134,Historical
Oye_P,698,1800,Historical
Oye_P,733,1973,Historical
Oye_P,949,2150.03225,Historical
Oye_P,670,1776,Historical
Oye_P,789,2489.701006,Historical
Oye_P,824,2519,Historical
Oye_P,769,892.6468045,Historical
Oye_P,698,2646,Historical
Oye_P,761,2108,Historical
Cervo_P,363,435.9333333,Historical
Oye_P,482,485,Historical
Oye_P,601,911,Historical
Oye_P,726,1623,Historical
Oye_P,755,1751,Historical
Oye_P,481,554.3440009,Historical
Oye_P,601,1188,Historical
Oye_P,629,1298,Historical
Oye_P,692,1357,Historical
Oye_P,706,922,Historical
Oye_P,706,1197,Historical
Oye_P,328,208,Historical
