Granja,FechaFin,Gen,Talla,Biomasa,Num
Cervo Sole,2024-12-31,24 2SG,f.500 - 600,3987.244775596804,7087.0
Tocha Sole,2024-12-31,24 2SG,e.400 - 500,4377.751338963851,8870.0
Tocha Sole,2024-12-31,24 2SG,e.400 - 500,4112.067551776405,9055.0
Anglet_P,2024-12-31,24 2SG,e.400 - 500,1760.2565923770835,3538.0
Hafnir_P,2024-12-31,24 3SG,c.200 - 300,999.9588292651516,4108.0
Anglet_P,2024-12-31,24 2SG,e.400 - 500,1739.363942860775,3555.0
Anglet_P,2024-12-31,24 2SG,c.200 - 300,499.9915135264536,1737.0
Hafnir_P,2024-12-31,24 3SG,d.300 - 400,111.59407125900712,282.0
Tocha Sole,2024-12-31,24 3SG,b.100 - 200,4.970764447835361,34.0
Hafnir_P,2024-12-31,24 3SG,b.100 - 200,110.35624662996491,575.0
Hafnir_P,2024-12-31,24 3SG,b.100 - 200,889.5723945125831,4625.0
Couso i+d,2024-12-31,24 4SG,b.100 - 200,4.827024880581077,25.0
Anglet_P,2025-01-31,23 6SG,g.600 - 800,420.4666148074467,629.0
Anglet_P,2025-01-31,23 6SG,g.600 - 800,187.5844605263937,263.0
Hafnir_P,2025-01-31,23 6SG,g.600 - 800,3495.688268736919,4968.0
Hafnir_P,2025-01-31,23 6SG,g.600 - 800,5409.1403804953,7346.0
Hafnir_P,2025-01-31,23 6SG,g.600 - 800,4594.930171784614,6055.0
Anglet_P,2025-01-31,24 2SG,g.600 - 800,3342.4775702178404,5048.0
Hafnir_P,2025-01-31,23 6SG,h.800 - 10000,999.424949421677,1192.0
Tocha Sole,2025-01-31,23 6SG,h.800 - 10000,499.8089347554173,540.0
Anglet_P,2025-01-31,23 6SG,h.800 - 10000,3789.712530564605,4554.0
Anglet_P,2025-01-31,23 6SG,g.600 - 800,4295.161746799966,5795.0
Anglet_P,2025-01-31,23 6SG,g.600 - 800,3797.059487584575,4893.0
Anglet_P,2025-01-31,23 6SG,g.600 - 800,456.5799665032509,585.0
Anglet_P,2025-01-31,24 3SG,e.400 - 500,1635.8229247177856,3860.0
Hafnir_P,2025-01-31,24 1SG,f.500 - 600,4527.627463010423,8591.0
Couso i+d,2025-01-31,24 1SG,h.800 - 10000,143.07015250118152,178.0
Couso i+d,2025-01-31,24 1SG,g.600 - 800,770.341000698768,1182.0
Cervo Sole,2025-01-31,24 1SG,h.800 - 10000,2499.2317285652903,2510.0
Couso i+d,2025-01-31,24 1SG,h.800 - 10000,156.82236387556767,196.0
Anglet_P,2025-01-31,24 1SG,f.500 - 600,1728.653393414825,2984.0
Anglet_P,2025-01-31,24 1SG,f.500 - 600,1801.3095709764766,3048.0
Couso i+d,2025-01-31,24 1SG,g.600 - 800,1429.1151934036411,2045.0
Anglet_P,2025-01-31,24 1SG,g.600 - 800,0.603100131497127,1.0
Hafnir_P,2025-01-31,24 1SG,f.500 - 600,3801.101367869716,6567.0
Hafnir_P,2025-01-31,24 1SG,f.500 - 600,939.147194760162,1797.0
Tocha Sole,2025-01-31,24 4SG,b.100 - 200,4.871483082621059,28.0
Hafnir_P,2025-01-31,24 1SG,f.500 - 600,731.5901305448419,1249.0
Cervo Sole,2025-01-31,24 1SG,f.500 - 600,549.8660274902389,960.0
Cervo Sole,2025-01-31,24 1SG,f.500 - 600,4530.96629459759,8049.0
Anglet_P,2025-01-31,24 2SG,e.400 - 500,1422.2933889486858,3107.0
Tocha Sole,2025-01-31,24 2SG,e.400 - 500,2533.773842623509,5307.0
Couso i+d,2025-01-31,24 2SG,e.400 - 500,4.874945398033949,12.0
Hafnir_P,2025-01-31,24 2SG,e.400 - 500,3846.070536663509,9127.0
Hafnir_P,2025-01-31,24 2SG,f.500 - 600,0.5292965473059709,1.0
Tocha Sole,2025-01-31,24 2SG,e.400 - 500,4245.221321269796,9495.0
Tocha Sole,2025-01-31,24 5SG,b.100 - 200,0.1083838327833099,1.0
Cervo Sole,2025-01-31,24 2SG,f.500 - 600,4342.898148461571,7778.0
Tocha Sole,2025-01-31,24 2SG,c.200 - 300,499.8920931316183,1687.0
Tocha Sole,2025-01-31,24 2SG,e.400 - 500,2220.6606302973446,4608.0
Cervo Sole,2025-01-31,24 2SG,d.300 - 400,1499.9176434768997,4773.0
Couso i+d,2025-01-31,24 2SG,f.500 - 600,855.6929223382767,1465.0
Cervo Sole,2025-01-31,24 2SG,e.400 - 500,2999.862026363008,7021.0
Cervo Sole,2025-01-31,24 2SG,g.600 - 800,35.516044967034425,51.0
Cervo Sole,2025-01-31,24 2SG,g.600 - 800,4806.193449490967,7586.0
Cervo Sole,2025-01-31,24 2SG,f.500 - 600,1576.0908322559917,2740.0
Couso i+d,2025-01-31,24 2SG,f.500 - 600,249.10953948004757,432.0
Couso i+d,2025-01-31,24 2SG,f.500 - 600,94.77905037456355,160.0
Anglet_P,2025-01-31,24 2SG,d.300 - 400,1128.101486243432,2862.0
Anglet_P,2025-01-31,24 2SG,e.400 - 500,941.500290768797,2251.0
Anglet_P,2025-01-31,24 2SG,f.500 - 600,1469.6995188272313,2907.0
Couso i+d,2025-01-31,24 2SG,d.300 - 400,4.706553501728803,13.0
Anglet_P,2025-01-31,24 2SG,d.300 - 400,371.6447146682022,1021.0
Hafnir_P,2025-01-31,24 3SG,e.400 - 500,1153.9276459913074,2367.0
Hafnir_P,2025-01-31,24 3SG,c.200 - 300,999.8466381649184,3757.0
Hafnir_P,2025-01-31,24 3SG,d.300 - 400,1499.6417537411307,3778.0
Hafnir_P,2025-01-31,24 3SG,d.300 - 400,0.3578130621971989,1.0
Cervo Sole,2025-01-31,24 3SG,c.200 - 300,499.7428404475508,1727.0
Hafnir_P,2025-01-31,24 4SG,b.100 - 200,999.8427478465694,5824.0
Tocha Sole,2025-01-31,24 3SG,d.300 - 400,3189.5545402388548,9398.0
Tocha Sole,2025-01-31,24 3SG,d.300 - 400,1810.3755186437904,5176.0
Anglet_P,2025-01-31,24 3SG,c.200 - 300,499.8647183032333,1824.0
Cervo Sole,2025-01-31,24 4SG,c.200 - 300,0.2426416519389052,1.0
Couso i+d,2025-01-31,24 4SG,c.200 - 300,4.957349385316254,19.0
Hafnir_P,2025-01-31,24 4SG,b.100 - 200,0.1229327502194537,1.0
Cervo Sole,2025-01-31,24 2SG,g.600 - 800,4818.424286501045,7798.0
Couso i+d,2025-01-31,24 5SG,b.100 - 200,4.994492751693064,49.0
